============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data/glv_ahidden0p00_obs.npz
  init_theta_scale = 1.0
  lr                = 0.02
  process_std       = 0.0
  N_ens             = 50
  epochs            = 200
  chunk_length      = 10
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      1.177446e-01        -2486.6077
     1      1.192117e-01         -241.3550
     2      2.436028e-01          -26.6697
     3      2.549322e-01          522.7462
     4      2.315401e-01          492.5833
     5      2.236814e-01          496.2751
     6      2.150355e-01          529.6740
     7      2.099742e-01          539.1447
     8      2.088143e-01          538.4622
     9      2.138009e-01          519.0060
    10      2.155785e-01          516.1876
    11      2.203837e-01          525.1770
    12      2.262265e-01          510.9483
    13      2.323754e-01          495.0097
    14      2.433802e-01          500.8382
    15      2.596428e-01          516.4824
    16      2.721945e-01          475.4288
    17      2.830484e-01          470.0320
    18      3.050060e-01          467.8772
    19      3.207825e-01          446.7047
    20      3.390040e-01          465.6517
    21      3.670371e-01          429.2299
    22      3.827738e-01          405.3998
    23      4.012366e-01          438.2781
    24      4.284023e-01          383.8660
    25      4.556238e-01          424.0374
    26      4.772608e-01          389.0596
    27      4.943030e-01          329.5569
    28      5.037004e-01          409.3334
    29      5.259561e-01          383.3938
    30      5.731779e-01          402.8350
    31      5.757766e-01          342.7483
    32      5.951418e-01          198.0627
    33      6.357967e-01          403.0512
    34      6.468933e-01          368.9966
    35      6.667987e-01          355.8724
    36      6.791203e-01          447.6471
    37      6.852873e-01          439.6875
    38      7.066577e-01          427.0219
    39      7.091876e-01          426.8645
    40      7.101104e-01          563.2417
    41      7.115607e-01          543.5609
    42      7.117157e-01          568.0120
    43      7.116398e-01          567.8583
    44      7.108505e-01          567.5352
    45      7.107379e-01          570.3856
    46      7.099187e-01          569.9847
    47      7.108663e-01          572.7643
    48      7.093874e-01          572.2867
    49      7.115467e-01          569.7552
    50      7.094852e-01          572.4125
    51      7.105471e-01          574.3346
    52      7.114033e-01          574.7017
    53      7.099932e-01          575.0320
    54      7.100410e-01          575.1721
    55      7.106856e-01          574.9384
    56      7.112880e-01          575.7270
    57      7.109893e-01          576.0739
    58      7.102708e-01          575.6640
    59      7.095367e-01          575.9232
    60      7.100075e-01          577.8220
    61      7.119525e-01          577.6998
    62      7.129371e-01          578.2184
    63      7.143237e-01          578.3903
    64      7.150437e-01          577.5724
    65      7.150649e-01          577.4485
    66      7.139089e-01          577.9427
    67      7.152704e-01          578.6685
    68      7.177256e-01          576.4106
    69      7.164441e-01          577.7864
    70      7.156138e-01          578.0470
    71      7.168584e-01          580.5954
    72      7.195284e-01          579.8333
    73      7.196923e-01          575.8086
    74      7.200128e-01          578.1522
    75      7.199013e-01          578.5701
    76      7.203293e-01          576.8677
    77      7.217159e-01          579.6006
    78      7.219281e-01          578.7646
    79      7.231150e-01          581.3234
    80      7.244033e-01          578.5128
    81      7.242758e-01          579.0715
    82      7.234344e-01          580.9328
    83      7.251666e-01          580.7059
    84      7.243042e-01          579.3776
    85      7.258772e-01          581.5074
    86      7.251909e-01          579.9540
    87      7.250534e-01          579.8793
    88      7.277315e-01          581.9274
    89      7.264556e-01          580.0237
    90      7.301287e-01          580.9064
    91      7.251058e-01          577.7328
    92      7.270658e-01          579.5926
    93      7.265047e-01          581.7643
    94      7.277350e-01          582.0341
    95      7.285831e-01          582.4395
    96      7.289679e-01          582.6721
    97      7.295877e-01          582.9809
    98      7.308283e-01          580.5932
    99      7.320519e-01          582.2804
   100      7.337641e-01          581.8864
   101      7.352011e-01          582.2661
   102      7.363868e-01          579.7390
   103      7.375632e-01          583.0527
   104      7.355188e-01          579.4543
   105      7.358481e-01          582.5444
   106      7.370154e-01          584.4298
   107      7.375882e-01          582.8112
   108      7.371419e-01          583.5455
   109      7.378671e-01          584.4253
   110      7.390693e-01          584.1302
   111      7.400987e-01          583.9360
   112      7.418399e-01          582.9113
   113      7.434089e-01          583.8342
   114      7.434351e-01          581.7530
   115      7.419769e-01          583.7791
   116      7.432819e-01          586.8389
   117      7.424210e-01          583.9621
   118      7.454904e-01          584.0352
   119      7.461997e-01          584.1835
   120      7.444927e-01          584.0197
   121      7.471292e-01          586.1962
   122      7.476758e-01          584.8271
   123      7.462074e-01          584.8000
   124      7.460210e-01          587.0008
   125      7.481799e-01          587.7415
   126      7.499585e-01          586.5722
   127      7.501212e-01          586.1638
   128      7.538342e-01          585.4916
   129      7.538144e-01          584.3523
   130      7.532947e-01          585.4154
   131      7.544543e-01          585.9244
   132      7.510244e-01          584.0373
   133      7.526695e-01          588.0532
   134      7.538995e-01          589.2284
   135      7.571832e-01          585.0079
   136      7.570760e-01          584.6535
   137      7.572448e-01          587.6990
   138      7.585039e-01          588.2966
   139      7.581375e-01          587.5784
   140      7.606069e-01          588.5604
   141      7.605320e-01          585.8104
   142      7.604175e-01          589.3410
   143      7.601367e-01          587.3554
   144      7.594836e-01          587.2075
   145      7.624977e-01          589.9660
   146      7.637715e-01          586.4537
   147      7.651615e-01          585.4806
   148      7.616998e-01          587.1989
   149      7.635139e-01          588.2074
   150      7.637802e-01          588.1079
   151      7.611396e-01          585.5659
   152      7.612474e-01          591.2189
   153      7.600419e-01          590.0953
   154      7.642851e-01          588.5381
