============================================================
gLV AD-EnKF parameter estimation run
============================================================
  data_truth_path   = gLV/data_no_noise/glv_ahidden0p00_truth.npz
  data_obs_path     = gLV/data_no_noise/glv_ahidden0p00_obs.npz
  init_theta_scale = 1.0
  lr                = 0.01
  process_std       = 0.01
  N_ens             = 50
  epochs            = 200
  chunk_length      = 30
============================================================
 Epoch    ||θ-θ_true||_2    Log-likelihood
------------------------------------------------------------
     0      3.386047e-02          716.7790
     1      1.726282e-02          840.0887
     2      2.247869e-02          884.8356
     3      2.878441e-02          884.4795
     4      3.369676e-02          899.2469
     5      4.261379e-02          894.6232
     6      5.440031e-02          914.9133
     7      6.010910e-02          919.2230
     8      6.280609e-02          917.2961
     9      6.375002e-02          915.5682
    10      6.361078e-02          919.8374
    11      6.597189e-02          919.1114
    12      6.768724e-02          919.9983
    13      6.612933e-02          916.7507
    14      6.861699e-02          916.7051
    15      7.032669e-02          915.7415
    16      7.291652e-02          916.3965
    17      7.517515e-02          914.3510
    18      7.784130e-02          919.2867
    19      8.148237e-02          917.8317
    20      8.505208e-02          912.9440
    21      8.950985e-02          915.6417
    22      9.507831e-02          909.9154
    23      1.050609e-01          896.8934
    24      1.185290e-01          882.9813
    25      1.240294e-01          865.3959
    26      1.232386e-01          887.2725
    27      1.178572e-01          867.9075
    28      1.127702e-01          882.5668
    29      1.133919e-01          918.1118
    30      1.155149e-01          919.4778
    31      1.135279e-01          905.8216
    32      1.165717e-01          908.8577
    33      1.160726e-01          911.2169
    34      1.180252e-01          916.0013
    35      1.198096e-01          918.5514
    36      1.212002e-01          914.4572
    37      1.242619e-01          917.9293
    38      1.261885e-01          911.9055
    39      1.280758e-01          907.3716
    40      1.275572e-01          920.4131
    41      1.278313e-01          920.1566
    42      1.286601e-01          928.6763
    43      1.293163e-01          928.3051
    44      1.302650e-01          924.8971
    45      1.311385e-01          929.9139
    46      1.320766e-01          931.0425
    47      1.329447e-01          930.5187
    48      1.334745e-01          932.2368
    49      1.339276e-01          930.9490
    50      1.343054e-01          928.8616
    51      1.348054e-01          930.6382
    52      1.353429e-01          930.3464
    53      1.360671e-01          930.5273
    54      1.367505e-01          926.8785
    55      1.374240e-01          928.7129
    56      1.380186e-01          930.2455
    57      1.386094e-01          930.1250
    58      1.392114e-01          933.1510
    59      1.397917e-01          931.3634
    60      1.403080e-01          931.1033
    61      1.409429e-01          930.5822
    62      1.416861e-01          931.4025
    63      1.425181e-01          927.3605
    64      1.432371e-01          927.7687
    65      1.438360e-01          931.5490
    66      1.442195e-01          931.4444
    67      1.446798e-01          932.2002
    68      1.451091e-01          929.5820
    69      1.454848e-01          931.1371
    70      1.459504e-01          931.2828
    71      1.465773e-01          932.3611
    72      1.473102e-01          931.6929
    73      1.478002e-01          931.6131
    74      1.482118e-01          933.2224
    75      1.488476e-01          934.9523
    76      1.494355e-01          934.0109
    77      1.501671e-01          930.6704
    78      1.506781e-01          930.8622
    79      1.514317e-01          930.9224
    80      1.520791e-01          932.3181
    81      1.526368e-01          929.9125
    82      1.534251e-01          932.0426
    83      1.539665e-01          932.4323
    84      1.546285e-01          931.5681
    85      1.551277e-01          932.5246
    86      1.556108e-01          933.5923
    87      1.560821e-01          933.2588
    88      1.565572e-01          931.4703
    89      1.569681e-01          932.7380
    90      1.575226e-01          933.5201
    91      1.580859e-01          932.3362
    92      1.586080e-01          932.2225
    93      1.594149e-01          933.5441
    94      1.601063e-01          933.6156
    95      1.607989e-01          934.5527
    96      1.614759e-01          930.9247
    97      1.618438e-01          930.5914
    98      1.623460e-01          933.3821
    99      1.630263e-01          932.3392
   100      1.636120e-01          932.2137
   101      1.640651e-01          933.2352
   102      1.647207e-01          930.9717
   103      1.653429e-01          935.8598
   104      1.658641e-01          931.2188
   105      1.664822e-01          934.7158
   106      1.670351e-01          933.6564
   107      1.674977e-01          932.8711
   108      1.681157e-01          933.9753
   109      1.686195e-01          933.4652
   110      1.693275e-01          934.4250
   111      1.699287e-01          931.4807
   112      1.705805e-01          934.1459
   113      1.710786e-01          933.1749
   114      1.716178e-01          931.6068
   115      1.720669e-01          934.8222
   116      1.724664e-01          934.4214
   117      1.727138e-01          935.0798
   118      1.730768e-01          932.0195
   119      1.736519e-01          932.7649
   120      1.741918e-01          933.7106
   121      1.748190e-01          933.7698
   122      1.753288e-01          933.1496
   123      1.758205e-01          934.3901
   124      1.762200e-01          934.2299
   125      1.767137e-01          932.3332
   126      1.772384e-01          932.4449
   127      1.777222e-01          934.9730
   128      1.784042e-01          933.9785
   129      1.789947e-01          933.4101
   130      1.792827e-01          932.2179
   131      1.797009e-01          932.3630
   132      1.801259e-01          934.0291
   133      1.804578e-01          933.0027
   134      1.809147e-01          933.7372
   135      1.813943e-01          935.0603
   136      1.819788e-01          934.9158
   137      1.824229e-01          936.3308
   138      1.828032e-01          932.6978
   139      1.835582e-01          933.7244
   140      1.840034e-01          932.2651
   141      1.844860e-01          934.2603
   142      1.850081e-01          933.4155
   143      1.854869e-01          933.3400
   144      1.859132e-01          936.2867
   145      1.861287e-01          932.4212
   146      1.864486e-01          935.3262
   147      1.866810e-01          932.8738
   148      1.871584e-01          934.3668
   149      1.877267e-01          932.1755
   150      1.881455e-01          933.6794
   151      1.884241e-01          934.9784
   152      1.889683e-01          933.2929
   153      1.895434e-01          934.2676
   154      1.898912e-01          933.5486
   155      1.904280e-01          933.8806
   156      1.909319e-01          934.6575
   157      1.914046e-01          934.0706
   158      1.916945e-01          933.3455
   159      1.918585e-01          935.2271
   160      1.921832e-01          934.3322
   161      1.924977e-01          935.1387
   162      1.927637e-01          931.7755
   163      1.931908e-01          933.1456
   164      1.936254e-01          935.0609
